time,open,high,low,close,atr_1.5,EMA20COLOR,aroon_strength
2024-07-18 10:25:00,18429.31,18429.81,18414.83,18416.79,False,White,Neutro
2024-07-18 10:30:00,18416.33,18449.84,18409.82,18446.8,False,White,Neutro
2024-07-18 10:35:00,18445.82,18459.83,18442.85,18442.85,False,Green,Forte Alta
2024-07-18 10:40:00,18443.81,18452.84,18435.82,18443.81,False,Green,Forte Alta
2024-07-18 10:45:00,18444.85,18455.42,18437.82,18455.42,False,Green,Forte Alta
2024-07-18 10:50:00,18454.84,18464.85,18447.4,18454.87,False,Green,Neutro
2024-07-18 10:55:00,18454.45,18475.87,18454.45,18475.87,False,Green,Forte Alta
2024-07-18 11:00:00,18474.4,18480.88,18468.42,18468.42,False,Green,Forte Alta
2024-07-18 11:05:00,18469.87,18481.87,18468.84,18474.84,False,Green,Forte Alta
2024-07-18 11:10:00,18475.47,18485.89,18475.47,18480.88,False,Green,Forte Alta
2024-07-18 11:15:00,18480.46,18484.88,18471.51,18483.9,False,Green,Forte Alta
2024-07-18 11:20:00,18482.86,18488.91,18480.47,18486.9,False,Green,Forte Alta
2024-07-18 11:25:00,18487.42,18487.92,18479.47,18481.87,False,Green,Forte Alta
2024-07-18 11:30:00,18482.91,18488.66,18459.92,18464.92,False,Green,Forte Alta
2024-07-18 11:35:00,18464.47,18471.92,18448.51,18451.47,False,White,Médio
2024-07-18 11:40:00,18451.92,18460.94,18446.44,18455.92,False,White,Médio
2024-07-18 11:45:00,18455.48,18471.64,18452.91,18467.91,False,White,Médio
2024-07-18 11:50:00,18468.61,18485.96,18468.61,18482.93,False,Green,Médio
2024-07-18 11:55:00,18483.48,18483.48,18467.91,18474.92,False,Green,Médio
2024-07-18 12:00:00,18475.96,18478.91,18459.92,18465.95,False,White,Médio
2024-07-18 12:05:00,18464.96,18477.97,18459.95,18463.95,False,White,Médio
2024-07-18 12:10:00,18463.98,18472.97,18456.93,18466.97,False,White,Médio
2024-07-18 12:15:00,18467.97,18472.97,18449.95,18449.97,False,White,Médio
2024-07-18 12:20:00,18449.98,18457.5,18440.0,18453.95,False,Red,Forte Baixa
2024-07-18 12:25:00,18454.58,18456.52,18445.56,18455.01,False,Red,Forte Baixa
2024-07-18 12:30:00,18453.99,18468.01,18446.99,18467.99,False,White,Forte Baixa
2024-07-18 12:35:00,18468.0,18477.01,18466.99,18474.0,False,Green,Médio
2024-07-18 12:40:00,18473.0,18478.01,18468.53,18472.02,False,Green,Médio
2024-07-18 12:45:00,18472.01,18478.54,18468.99,18478.04,False,Green,Médio
2024-07-18 12:50:00,18479.61,18479.61,18467.02,18478.03,False,Green,Médio
2024-07-18 12:55:00,18478.59,18486.04,18473.0,18486.04,False,Green,Neutro
2024-07-18 13:00:00,18485.75,18488.05,18478.01,18488.05,False,Green,Neutro
2024-07-18 13:05:00,18487.04,18493.06,18484.54,18492.05,False,Green,Neutro
2024-07-18 13:10:00,18492.63,18492.63,18483.57,18485.03,False,Green,Neutro
2024-07-18 13:15:00,18486.07,18490.07,18467.65,18470.06,False,White,Neutro
2024-07-18 13:20:00,18471.06,18484.59,18470.07,18484.08,False,White,Médio
2024-07-18 13:25:00,18483.06,18485.08,18471.04,18473.07,False,White,Médio
2024-07-18 13:30:00,18474.08,18476.1,18469.08,18474.08,False,White,Médio
2024-07-18 13:35:00,18474.06,18484.11,18471.07,18481.67,False,White,Médio
2024-07-18 13:40:00,18482.06,18491.68,18478.58,18491.1,False,Green,Médio
2024-07-18 13:45:00,18491.66,18494.69,18485.09,18493.1,False,Green,Forte Alta
2024-07-18 13:50:00,18493.63,18496.66,18489.12,18492.11,False,Green,Forte Alta
2024-07-18 13:55:00,18492.63,18495.11,18485.11,18491.13,False,Green,Forte Alta
2024-07-18 14:00:00,18490.84,18495.1,18486.04,18486.12,False,Green,Forte Alta
2024-07-18 14:05:00,18485.13,18492.7,18482.14,18485.1,False,Green,Médio
2024-07-18 14:10:00,18484.11,18490.15,18483.65,18484.14,False,Green,Médio
2024-07-18 14:15:00,18484.65,18493.64,18469.65,18493.64,False,White,Médio
2024-07-18 14:20:00,18493.16,18496.14,18488.14,18495.17,False,Green,Médio
2024-07-18 14:25:00,18495.73,18500.76,18485.66,18485.66,False,Green,Forte Alta
2024-07-18 14:30:00,18485.68,18492.63,18479.18,18489.16,False,White,Forte Alta
2024-07-18 14:35:00,18488.18,18495.17,18475.18,18484.17,False,White,Forte Alta
2024-07-18 14:40:00,18483.16,18496.2,18483.16,18496.2,False,White,Médio
2024-07-18 14:45:00,18495.16,18506.18,18492.15,18505.18,False,Green,Neutro
2024-07-18 14:50:00,18504.19,18504.74,18493.72,18501.19,False,Green,Neutro
2024-07-18 14:55:00,18501.75,18509.86,18493.72,18501.21,False,Green,Neutro
2024-07-18 15:00:00,18502.75,18505.76,18488.18,18495.77,False,White,Neutro
2024-07-18 15:05:00,18496.21,18508.95,18496.21,18501.23,False,Green,Neutro
2024-07-18 15:10:00,18502.23,18512.21,18497.83,18505.23,False,Green,Neutro
2024-07-18 15:15:00,18505.79,18514.88,18504.21,18512.23,False,Green,Forte Alta
2024-07-18 15:20:00,18511.83,18514.25,18499.26,18503.24,False,Green,Forte Alta
2024-07-18 15:25:00,18504.24,18515.25,18503.79,18514.22,False,Green,Forte Alta
2024-07-18 15:30:00,18513.25,18526.26,18511.78,18515.81,False,Green,Neutro
2024-07-18 15:35:00,18516.26,18535.26,18511.76,18531.23,False,Green,Forte Alta
2024-07-18 15:40:00,18530.26,18538.27,18512.82,18512.82,False,Green,Forte Alta
2024-07-18 15:45:00,18513.28,18517.29,18483.84,18485.28,True,White,Forte Alta
2024-07-18 15:50:00,18486.27,18493.84,18472.27,18477.98,False,Red,Neutro
2024-07-18 15:55:00,18479.28,18503.27,18479.28,18500.3,False,White,Neutro
2024-07-18 16:00:00,18501.3,18503.27,18481.31,18489.3,False,White,Neutro
2024-07-18 16:05:00,18487.96,18489.3,18467.84,18481.32,False,Red,Neutro
2024-07-18 16:10:00,18479.77,18485.32,18471.28,18484.3,False,Red,Neutro
2024-07-18 16:15:00,18484.92,18497.88,18479.9,18480.34,False,White,Neutro
2024-07-18 16:20:00,18479.32,18486.33,18466.34,18486.33,False,Red,Neutro
2024-07-18 16:25:00,18487.3,18487.31,18462.34,18462.91,False,Red,Neutro
2024-07-18 16:30:00,18462.32,18465.86,18446.89,18447.32,False,Red,Neutro
